Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2024,12,nr,22,19,nr,26,nr,nr,nr,29,nr,nr,nr,25,29,nr,27,nr,nr,21,nr,nr,nr,27,nr,nr,27,24,nr,27,27,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,
01-05-2024,13,nr,24,20,nr,27,nr,nr,nr,30,nr,nr,nr,28,30,nr,28,nr,nr,22,nr,nr,nr,29,nr,nr,28,26,nr,28,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
01-05-2024,14,nr,24,21,nr,28,nr,nr,nr,30,nr,nr,nr,29,31,nr,29,nr,nr,22,nr,nr,nr,30,nr,nr,29,27,nr,28,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
01-05-2024,15,nr,24,20,nr,29,nr,nr,nr,30,nr,nr,nr,30,31,nr,30,nr,nr,23,nr,nr,nr,30,nr,nr,29,27,nr,28,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
01-05-2024,16,nr,23,21,nr,29,nr,nr,nr,30,nr,nr,nr,31,30,nr,30,nr,nr,23,nr,nr,nr,30,nr,nr,29,26,nr,29,30,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
01-05-2024,17,nr,22,20,nr,28,nr,nr,nr,29,nr,nr,nr,31,29,nr,30,nr,nr,23,nr,nr,nr,30,nr,nr,29,26,nr,28,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
01-05-2024,18,nr,21,20,nr,27,nr,nr,nr,28,nr,nr,nr,30,27,nr,29,nr,nr,22,nr,nr,nr,29,nr,nr,28,26,nr,27,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
01-05-2024,19,nr,19,18,nr,26,nr,nr,nr,26,nr,nr,nr,28,26,nr,27,nr,nr,20,nr,nr,nr,27,nr,nr,27,24,nr,26,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,
01-05-2024,20,nr,18,16,nr,25,nr,nr,nr,25,nr,nr,nr,27,24,nr,26,nr,nr,19,nr,nr,nr,26,nr,nr,26,23,nr,24,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
01-05-2024,21,nr,17,15,nr,24,nr,nr,nr,24,nr,nr,nr,25,22,nr,25,nr,nr,17,nr,nr,nr,25,nr,nr,25,22,nr,23,25,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,23,nr,nr,
